Date,Typedejour,Energie,Tmax
08/06/2014,1,44795.81765,32
09/06/2014,2,51284.06381,30
10/06/2014,3,48471.37007,34
11/06/2014,4,53973.47521,33
12/06/2014,5,53964.13424,33
13/06/2014,6,53587.93147,33
14/06/2014,7,50697.07016,34
15/06/2014,1,46502.68509,33
16/06/2014,2,51174.60728,27
17/06/2014,3,50251.00997,29
18/06/2014,4,49389.44372,29
19/06/2014,5,51083.81542,31
20/06/2014,6,52134.12571,31
21/06/2014,7,50490.88998,33
22/06/2014,1,46704.35849,34
23/06/2014,2,54812.1233,38
24/06/2014,3,58692.4643,40
25/06/2014,4,58225.4942,31
26/06/2014,5,55595.92869,30
27/06/2014,6,55160.11328,32
28/06/2014,7,54299.98701,36
29/06/2014,1,52921.70554,39
30/06/2014,2,56583.16639,31
01/07/2014,3,54839.64169,29
02/07/2014,4,57515.39289,37
03/07/2014,5,60307.5094,36
04/07/2014,6,62502.07867,37
05/07/2014,7,57860.57771,32
06/07/2014,1,52640.75762,34
07/07/2014,2,61327.08603,35
08/07/2014,3,60671.91704,33
09/07/2014,4,57610.71052,29
10/07/2014,5,54946.8489,29
11/07/2014,6,53140.3482,28
12/07/2014,7,52616.74734,30
13/07/2014,1,48697.51089,30
14/07/2014,2,55085.88288,32
15/07/2014,3,55371.39349,30
16/07/2014,4,55797.26545,32
17/07/2014,5,56668.45323,33
18/07/2014,6,57785.81644,34
19/07/2014,7,57999.78172,37
20/07/2014,1,57141.69651,40
21/07/2014,2,61576.48532,32
22/07/2014,3,58454.83417,32
23/07/2014,4,58056.39729,32
24/07/2014,5,59077.92912,34
25/07/2014,6,58862.5308,40
26/07/2014,7,60534.46349,39
27/07/2014,1,54059.29019,34
28/07/2014,2,47592.8567,33
29/07/2014,3,48833.54032,41
30/07/2014,4,51149.72669,30
31/07/2014,5,53341.18984,33
01/08/2014,6,55134.80064,32
02/08/2014,7,55981.42941,37
03/08/2014,1,55015.32692,32
04/08/2014,2,59935.51859,34
05/08/2014,3,60672.95201,33
06/08/2014,4,58425.38234,33
07/08/2014,5,57586.53442,33
08/08/2014,6,58482.81193,33
09/08/2014,7,57740.35993,36
10/08/2014,1,50480.45841,35
11/08/2014,2,64461.3696,38
12/08/2014,3,66795.2278,36
13/08/2014,4,66198.08648,41
14/08/2014,5,65430.84785,34
15/08/2014,6,61179.56827,30
16/08/2014,7,56114.31788,31
17/08/2014,1,49507.63031,31
18/08/2014,2,55705.12304,34
19/08/2014,3,62227.7563599999,42
20/08/2014,4,65492.37426,34
21/08/2014,5,63334.65431,33
22/08/2014,6,61841.87259,33
23/08/2014,7,60977.5079,38
24/08/2014,1,53947.94589,32
25/08/2014,2,57538.94346,31
26/08/2014,3,59762.62279,36
27/08/2014,4,63502.80176,35
28/08/2014,5,62532.91657,36
29/08/2014,6,61844.86523,33
30/08/2014,7,58293.25817,34
31/08/2014,1,48515.8898,36
01/09/2014,2,58578.59263,32
02/09/2014,3,56830.15508,30
03/09/2014,4,56029.28579,30
04/09/2014,5,56916.6699,32
05/09/2014,6,57471.52759,31
06/09/2014,7,54144.38639,33
07/09/2014,1,50222.16138,32
08/09/2014,2,56222.92747,31
09/09/2014,3,55572.28773,34
10/09/2014,4,57114.38363,33
11/09/2014,5,57045.65917,33
12/09/2014,6,58738.99959,34
13/09/2014,7,55563.70708,33
14/09/2014,1,51142.64772,33
15/09/2014,2,59991.90505,37
16/09/2014,3,62402.84051,37
17/09/2014,4,63153.48655,34
18/09/2014,5,64067.3278,34
19/09/2014,6,67018.49887,35
20/09/2014,7,65035.62767,35
21/09/2014,1,58976.84426,39
22/09/2014,2,65620.12912,35
23/09/2014,3,62621.47375,32
24/09/2014,4,60209.10268,35
25/09/2014,5,56058.96173,29
26/09/2014,6,52739.19101,29
27/09/2014,7,48415.01776,28
28/09/2014,1,44337.73162,29
29/09/2014,2,50687.93421,31
30/09/2014,3,51663.95377,31
01/10/2014,4,53029.44465,33
02/10/2014,5,51597.50136,31
03/10/2014,6,41959.88258,27
04/10/2014,7,33273.33534,26
05/10/2014,1,33795.30943,24
06/10/2014,2,40011.64705,27
07/10/2014,3,44463.46427,30
08/10/2014,4,47139.20738,32
09/10/2014,5,49485.44768,32
10/10/2014,6,50668.68614,31
11/10/2014,7,48704.44074,32
12/10/2014,1,44979.77973,32
13/10/2014,2,50739.63919,31
14/10/2014,3,52513.37827,35
15/10/2014,4,48556.80029,30
